X,CH1,CH2
Second,Volt,Volt
-1.2872000e-03,2.64000e-01,-2.24000e-02
-1.2868000e-03,2.88000e-01,1.12000e-02
-1.2864000e-03,2.56000e-01,-1.68000e-02
-1.2860000e-03,2.80000e-01,7.20000e-03
-1.2856000e-03,2.56000e-01,-1.68000e-02
-1.2852000e-03,2.80000e-01,6.40000e-03
-1.2848000e-03,2.64000e-01,-1.76000e-02
-1.2844000e-03,2.80000e-01,8.00000e-03
-1.2840000e-03,2.56000e-01,-1.68000e-02
-1.2836000e-03,2.72000e-01,8.00000e-03
-1.2832000e-03,2.48000e-01,-1.84000e-02
-1.2828000e-03,2.64000e-01,4.80000e-03
-1.2824000e-03,2.48000e-01,-2.24000e-02
-1.2820000e-03,2.64000e-01,1.36000e-02
-1.2816000e-03,2.48000e-01,-2.48000e-02
-1.2812000e-03,2.64000e-01,1.36000e-02
-1.2808000e-03,2.48000e-01,-2.24000e-02
-1.2804000e-03,2.72000e-01,8.80000e-03
-1.2800000e-03,2.56000e-01,-2.08000e-02
-1.2796000e-03,2.80000e-01,1.12000e-02
-1.2792000e-03,2.56000e-01,-2.24000e-02
-1.2788001e-03,2.88000e-01,1.52000e-02
-1.2784001e-03,2.64000e-01,-2.56000e-02
-1.2780001e-03,2.96000e-01,1.28000e-02
-1.2776001e-03,2.72000e-01,-1.52000e-02
-1.2772001e-03,3.04000e-01,1.44000e-02
-1.2768001e-03,2.80000e-01,-2.40000e-02
-1.2764001e-03,3.04000e-01,1.20000e-02
-1.2760001e-03,2.88000e-01,-1.92000e-02
-1.2756001e-03,3.12000e-01,8.80000e-03
-1.2752000e-03,2.88000e-01,-1.44000e-02
-1.2748000e-03,3.12000e-01,6.40000e-03
-1.2744000e-03,2.88000e-01,-1.68000e-02
-1.2740000e-03,3.04000e-01,4.80000e-03
-1.2736000e-03,2.80000e-01,-1.84000e-02
-1.2732000e-03,3.04000e-01,8.80000e-03
-1.2728000e-03,2.80000e-01,-1.68000e-02
-1.2724000e-03,2.96000e-01,6.40000e-03
-1.2720000e-03,2.72000e-01,-1.76000e-02
-1.2716000e-03,2.96000e-01,7.20000e-03
-1.2712000e-03,2.72000e-01,-1.44000e-02
-1.2708000e-03,2.96000e-01,5.60000e-03
-1.2704000e-03,2.64000e-01,-2.08000e-02
-1.2700000e-03,2.88000e-01,1.12000e-02
-1.2696000e-03,2.64000e-01,-2.00000e-02
-1.2692000e-03,2.80000e-01,1.12000e-02
-1.2688000e-03,2.64000e-01,-2.16000e-02
-1.2684000e-03,2.88000e-01,9.60000e-03
-1.2680000e-03,2.64000e-01,-1.76000e-02
-1.2676000e-03,2.88000e-01,8.80000e-03
-1.2672000e-03,2.64000e-01,-2.40000e-02
-1.2668000e-03,2.88000e-01,2.16000e-02
